card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
02013,Final Rhapsody,neutral,0,239,239,0,0
08023,Sweeping Kick (1),guardian,1,86,146,55,92
02018,Teamwork,guardian,0,170,236,2,2
07024,Plan of Action,seeker,0,113,211,16,26
02012,Jim's Trumpet,neutral,0,237,237,0,0
03108,Anatomical Diagrams,seeker,0,135,230,4,7
09067,"""I'll take that!""",rogue,0,130,217,13,19
05109,Something Worth Fighting For,guardian,0,147,227,7,9
02152,Switchblade (2),rogue,2,107,171,38,65
06011,Tony's .38 Long Colt,neutral,0,118,236,0,0
05026,Curiosity,seeker,0,121,220,9,15
06112,Dream Diary,seeker,0,134,218,12,16
08059,Down the Rabbit Hole,mystic,0,222,222,9,9
07261,Enchant Weapon (3),guardian,3,73,108,75,123
03007,The Home Front,neutral,0,231,231,0,0
03008,Shell Shock,neutral,0,231,231,0,0
03009,Sophie,neutral,0,231,231,0,0
60112,Counterpunch,guardian,0,121,225,3,5
51001,Bandolier (2),guardian,2,95,138,59,92
02036,Kukri,neutral,0,154,227,1,2
04020,Reliable (1),guardian,1,95,161,43,67
08092,Brand of Cthugha (4),guardian,4,45,76,83,152
04306,Vantage Point,seeker,0,129,223,4,5
09109,At a Crossroads (1),survivor,1,89,160,38,64
02154,Shrivelling (3),mystic,3,84,133,54,91
05278,"Another Day, Another Dollar (3)",rogue,3,73,110,70,113
01565,Ward of Protection,mystic,0,119,220,1,2
08055,Black Market (2),rogue,2,75,130,57,90
07031,Ward of Radiance,mystic,0,110,208,7,12
03034,Astral Travel,mystic,0,167,212,4,6
08035,Hiking Boots (1),seeker,1,81,108,78,109
09112,Gumption (1),survivor,1,59,109,56,107
06239,Haste (2),rogue,2,96,124,65,91
01085,Will to Survive (3),survivor,3,101,152,40,63
08060,Dragon Pole,mystic,0,113,213,0,0
04204,Ornate Bow (3),neutral,3,97,167,27,45
08120,Prophetic (3),guardian,3,59,97,70,115
04007,Bought in Blood,neutral,0,209,212,0,0
04152,Truth from Fiction,seeker,0,117,199,8,11
09006,On the Mend,neutral,0,55,208,2,2
05027,Death • XIII (1),seeker,1,124,150,45,59
